,Low,High,Open,Close,Volume_BTC,,,,,,
1.70408E+12,42594.71,42601.38,42594,42597.71,6.5748,1.70408E+12,280073.6628,342,4.79137,204104.3916,0
1.70408E+12,42597.83,42607.04,42590.38,42595.63,10.36742,1.70408E+12,441649.2595,519,6.55238,279145.0008,0
1.70408E+12,42595.81,42611.23,42593.6,42596.06,14.19338,1.70408E+12,604630.0911,703,4.23321,180344.1514,0
1.70408E+12,42594.25,42602.99,42590.66,42595.03,7.31839,1.70408E+12,311742.6595,444,4.08083,173840.3188,0
1.70408E+12,42596.91,42601.75,42589.91,42597.12,7.96616,1.70408E+12,339319.1475,578,3.78186,161098.1001,0
1.70408E+12,42596,42596.22,42564.48,42568.02,13.79126,1.70408E+12,587182.18,987,4.54098,193330.7405,0
1.70408E+12,42568.86,42587.99,42552.88,42584.5,17.30729,1.70408E+12,736699.738,1297,6.61425,281567.9827,0
1.70408E+12,42584.5,42644.01,42583.5,42638.82,26.99293,1.70408E+12,1150244.724,1825,15.33847,653583.4219,0
1.70408E+12,42636.47,42651.49,42624.44,42629.84,24.98353,1.70408E+12,1065207.639,1296,10.03617,427915.8669,0
1.70408E+12,42631.18,42640.2,42622.38,42633.25,13.39066,1.70408E+12,570849.8591,686,7.46153,318093.0138,0
1.70408E+12,42633.25,42639.12,42614.11,42621.54,16.99524,1.70408E+12,724458.9038,878,5.39312,229914.9819,0
1.70408E+12,42621.54,42638.37,42614.07,42632.41,11.75029,1.70408E+12,500879.6972,691,7.6291,325196.4691,0
1.70408E+12,42632.41,42634.3,42624.49,42629.73,6.39657,1.70408E+12,272684.9993,447,2.73181,116460.7244,0
1.70408E+12,42629.77,42641.46,42624.62,42639.22,8.02814,1.70408E+12,342271.4487,517,4.89952,208892.662,0
1.70408E+12,42636.99,42640.2,42632.03,42634.07,5.1363,1.70408E+12,218990.5058,489,2.36781,100957.013,0
1.70408E+12,42634.04,42639.49,42628.3,42629.03,5.94378,1.70408E+12,253409.8347,435,1.3898,59255.33731,0
1.70408E+12,42629.67,42637.52,42617.71,42621.61,18.47949,1.70408E+12,787734.2128,1007,4.90339,209027.5351,0
1.70408E+12,42618.79,42625,42610.54,42624.49,9.08499,1.70408E+12,387182.4977,594,4.92203,209773.5135,0
